Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.375084092,0,0,0,0,0,0,0
6.375085068,1,0,0,0,0,0,0
6.375086048,0,0,0,0,0,0,0
6.375088000,1,0,0,0,0,0,0
6.375088976,0,0,0,0,0,0,0
6.375089952,1,0,0,0,0,0,0
6.375091904,0,0,0,0,0,0,0
6.375093860,1,0,0,0,0,0,0
6.375094836,0,0,0,0,0,0,0
6.375096788,1,0,0,0,0,0,0
6.375109484,0,0,0,0,0,0,0
6.375110460,1,0,0,0,0,0,0
6.375111436,0,0,0,0,0,0,0
6.375115344,1,0,0,0,0,0,0
6.375117296,0,0,0,0,0,0,0
6.375119248,1,0,0,0,0,0,0
6.375120228,0,0,0,0,0,0,0
6.375125108,1,0,0,0,0,0,0
6.375127064,0,0,0,0,0,0,0
6.375128040,1,0,0,0,0,0,0
6.375129992,0,0,0,0,0,0,0
6.375130968,1,0,0,0,0,0,0
6.376056756,0,0,0,0,0,0,0
6.376057732,1,0,0,0,0,0,0
6.376058708,0,0,0,0,0,0,0
6.376059684,1,0,0,0,0,0,0
6.376060664,0,0,0,0,0,0,0
6.376062616,1,0,0,0,0,0,0
6.376063592,0,0,0,0,0,0,0
6.376064568,1,0,0,0,0,0,0
6.376065544,0,0,0,0,0,0,0
6.376073360,1,0,0,0,0,0,0
6.376074336,0,0,0,0,0,0,0
6.376076288,1,0,0,0,0,0,0
6.376079216,0,0,0,0,0,0,0
6.376080192,1,0,0,0,0,0,0
6.376082148,0,0,0,0,0,0,0
6.376084100,1,0,0,0,0,0,0
6.376086052,0,0,0,0,0,0,0
6.376088008,1,0,0,0,0,0,0
6.376088984,0,0,0,0,0,0,0
6.376089960,1,0,0,0,0,0,0
6.376091912,0,0,0,0,0,0,0
6.376093864,1,0,0,0,0,0,0
6.376094844,0,0,0,0,0,0,0
6.376096796,1,0,0,0,0,0,0
6.376109492,0,0,0,0,0,0,0
6.376110468,1,0,0,0,0,0,0
6.376111444,0,0,0,0,0,0,0
